"ESCOLA DA FLORESTA", " AREAL RIO BRANCO - AC", "(68) 2106-2900", , "Escolas", , 
"ESCOLA SAO JOSE", " CENTRO CRUZEIRO DO SUL - AC", "(68) 3322-2716", , "Escolas", , 
"ESCOLA MAX", " ESTACAO EXPERIMENTAL RIO BRANCO - AC", "(68) 3226-3599", , "Escolas de Educação Infantil (Maternal,Jardim e Pré-Escola)", , 
"ESCOLA NEWTEL MAIA", " BOSQUE RIO BRANCO - AC", "(68) 3223-1783", , "Escolas", , 
"AUTO-ESCOLA ADRIAN", " RIO BRANCO - AC", "(68) 3223-0690 á", , "Auto-Escolas - Centro de Formação de Condutores", , "http://images.guiamais.com.br/14248106/1.gif"
"AUTO-ESCOLA CHRISTUS", " ESTACAO EXPERIMENTAL RIO BRANCO - AC", "(68) 3227-1856", , "Auto-Escolas - Centro de Formação de Condutores", , 
"AUTO-ESCOLA FAROL", " CENTRO SENADOR GUIOMARD - AC", "(68) 3232-2639", , "Auto-Escolas - Centro de Formação de Condutores", , 
"AUTO ESCOLA MODELO 3", " PLACIDO DE CASTRO - AC", "(68) 3237-1542", , "Auto-Escolas - Centro de Formação de Condutores", , 
"AUTO-ESCOLA AQUIRY", " CAPOEIRA RIO BRANCO - AC", "(68) 3224-0791", , "Auto-Escolas - Centro de Formação de Condutores", , 
"AUTO-ESCOLA TROVAO", " CENTRO EPITACIOLANDIA - AC", "(68) 3456-5077", , "Auto-Escolas - Centro de Formação de Condutores", , 
"Guia General", " ABRAHAO ALAB RIO BRANCO - AC", "(68) 3227-5352", , "Auto-Escolas - Centro de Formação de Condutores", "", 
"Guia General", " RIO BRANCO - AC", "(68) 3223-4159", , "Auto-Escolas - Centro de Formação de Condutores", "", "http://images.guiamais.com.br/1458043/5.gif"
"Guia General", " RIO BRANCO - AC", "(68) 3226-7846", , "Auto-Escolas - Centro de Formação de Condutores", "", 
"ESCOLA DE MÚSICA KATMUSIC", " RIO BRANCO - AC", "(68) 3224-6278 á", , "Escolas de Música", "", "http://images.guiamais.com.br/14264763/1.gif"
"Guia General", " QUINZE RIO BRANCO - AC", "(68) 3223-0474", , "Informática - Redes", "", 
"Guia General", " CERAMICA RIO BRANCO - AC", "(68) 3224-2229", , "Escolas Públicas", "", 
"Guia General", " RIO BRANCO - AC", "(68) 3224-8991", , "Cirurgiões-Dentistas", "", 
"Guia General", " AER VELHO RIO BRANCO - AC", "(68) 3223-6519", , "Escolas Públicas", "", 
"Desk Móveis Escolares", " Jardim Peri Peri SAO PAULO - SP", "  -(11) 3772-6444 á", , "Móvel para Escola", "", "http://images.guiamais.com.br/13134442/2.gif"
"Guia General", " CENTRO TARAUACA - AC", "  -(68) 3462-1205", , "Escolas Públicas", "", 
"Guia General", " RAIMUNDO CHAAR BRASILEIA - AC", "(68) 3546-4800", , "Escolas", "", 
"Guia General", " CERAMICA RIO BRANCO - AC", "(68) 3026-1633", , "Escolas", "", 
"Guia General", " IPASE RIO BRANCO - AC", "(68) 3224-6938", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " Etn Experimental RIO BRANCO - AC", "  -(68) 3227-3270 á", , "Auto-Escolas - Centro de Formação de Condutores", "", "http://images.guiamais.com.br/13344589/6.gif"
"Guia General", " CENTRO XAPURI - AC", "(68) 3542-2942", , "Escolas", "", 
"Guia General", " IPASE RIO BRANCO - AC", "(68) 3224-7504", , "Sindicatos e Federações", "", 
"Guia General", " CENTRO XAPURI - AC", "(68) 3542-2381", , "Asfalto", "", 
"Guia General", " ETN EXPERIMENTAL RIO BRANCO - AC", "(68) 3227-3366", , "Auto-Escolas - Centro de Formação de Condutores", "", 
"Guia General", " AER VELHO RIO BRANCO - AC", "(68) 3224-1142", , "Escolas", "", 
"Guia General", " PAPOUCO RIO BRANCO - AC", "(68) 3223-4863", , "Escolas Públicas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3224-1230", , "Escolas Públicas", "", 
"Guia General", " CONQUISTA RIO BRANCO - AC", "(68) 3228-6572", , "Escolas Públicas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3224-5490", , "Escolas Particulares", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3223-2026", , "Escolas Particulares", "", 
"Guia General", " RIO BRANCO - AC", "(68) 3227-4143", , "Escolas Particulares", "", "http://images.guiamais.com.br/2462107/14.gif"
"Guia General", " LEONARDO BARBOSA BRASILEIA - AC", "(68) 3546-4830", , "Escolas Públicas", "", 
"Guia General", " FLORESTA RIO BRANCO - AC", "(68) 3227-5765", , "Academias Desportivas", "", 
"Guia General", " RIO BRANCO - AC", "  -(68) 3227-3040", , "Escolas Particulares", "", 
"Guia General", " JD MANOEL JULIAO RIO BRANCO - AC", "(68) 3224-2241", , "Cursos Preparatórios p Concursos Públicos", "", 
"Guia General", " ST INES RIO BRANCO - AC", "(68) 3221-6456", , "Escolas Públicas", "", 
"Guia General", " BASE RIO BRANCO - AC", "(68) 3227-8893", , "Escolas Públicas", "", 
"Guia General", " ZONA RURAL RIO BRANCO - AC", "(68) 3228-6580", , "Escolas Públicas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "  -(68) 3223-2660", , "Escolas de Música", "", 
"Guia General", " CADEIA VELHA RIO BRANCO - AC", "(68) 3224-7238", , "Academias Desportivas", "", 
"Guia General", " 6 AGOSTO RIO BRANCO - AC", "(68) 3224-5221", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3028-4599", , "Escolas Particulares", "", 
"Guia General", " BRASILEIA - AC", "(68) 3546-3693", , "Escolas Públicas", "", 
"Guia General", " AER VELHO RIO BRANCO - AC", "(68) 3225-5514", , "Escolas Públicas", "", 
"Guia General", " BOSQUE RIO BRANCO - AC", "(68) 3223-7819", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3223-8725", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " CENTRO SENADOR GUIOMARD - AC", "(68) 3232-3881", , "Auto-Escolas - Centro de Formação de Condutores", "", 
"Guia General", " VL IVONETE RIO BRANCO - AC", "(68) 3227-1546", , "Escolas Públicas", "", 
"Guia General", " RIO BRANCO - AC", "(68) 3244-1122", , "Escolas Particulares", "", 
"Guia General", " DISTRITO INDUSTRIAL RIO BRANCO - AC", "(68) 3229-4599", , "Escolas Maternais e Creches", "", 
"Guia General", " TROPICAL RIO BRANCO - AC", "(68) 3224-3406", , "Escolas Particulares", "", 
"Guia General", " FLORESTA RIO BRANCO - AC", "(68) 3227-8885", , "Escolas Públicas", "", 
"Guia General", " AER VELHO RIO BRANCO - AC", "  -(68) 3222-7495", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " BX HABITASA RIO BRANCO - AC", "(68) 3223-2607", , "Cursos Preparatórios p Concursos Públicos", "", 
"Guia General", " CENTRO CRUZEIRO DO SUL - AC", "(68) 3322-3913", , "Escolas Públicas", "", 
"Guia General", " CENTRO BRASILEIA - AC", "(68) 3546-3552", , "Escolas Públicas", "", 
"Guia General", " VL ACRE RIO BRANCO - AC", "(68) 3214-8000", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " CENTRO CRUZEIRO DO SUL - AC", "(68) 3322-6666", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " QUINZE RIO BRANCO - AC", "(68) 3221-1594", , "Escolas Públicas", "", 
"Guia General", " BOSQUE RIO BRANCO - AC", "(68) 3222-8151", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " FLORESTA RIO BRANCO - AC", "(68) 3224-3988", , "Academias Desportivas", "", 
"Guia General", " VILLAGE W MACIEL RIO BRANCO - AC", "(68) 3223-0446", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3224-2388", , "Escolas", "", 
"Guia General", " QUINZE RIO BRANCO - AC", "(68) 3222-7569", , "Academias Desportivas", "", 
"Guia General", " AER VELHO RIO BRANCO - AC", "(68) 3242-1117", , "Escolas Públicas", "", 
"Guia General", " ABRAHAO ALAB RIO BRANCO - AC", "(68) 3227-6172", , "Escolas Particulares", "", 
"Guia General", " BOSQUE RIO BRANCO - AC", "(68) 3224-6890", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CENTRO CRUZEIRO DO SUL - AC", "(68) 3322-4437", , "Escolas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3224-9881", , "Escolas de Idiomas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3224-8948", , "Academias Desportivas", "", 
"Guia General", " BOSQUE RIO BRANCO - AC", "(68) 3224-8252", , "Academias Desportivas", "", 
"Guia General", " DISTRITO INDUSTRIAL RIO BRANCO - AC", "(68) 3229-1311", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CONQUISTA RIO BRANCO - AC", "(68) 3228-0656", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " ABRAHAO ALAB RIO BRANCO - AC", "(68) 3227-1186", , "Escolas de Esportes", "", 
"Guia General", " CENTRO ASSIS BRASIL - AC", "(68) 3548-1051", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " FLORESTA RIO BRANCO - AC", "(68) 3242-1987", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CJ GUIOMARD SANTOS RIO BRANCO - AC", "  -(68) 3223-4065", , "Escolas", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3212-3015", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " ST TEREZINHA CRUZEIRO DO SUL - AC", "(68) 3311-1500", , "Escolas Particulares", "", 
"Guia General", " CADEIA VELHA RIO BRANCO - AC", "(68) 3222-8995", , "Escolas Técnicas e Profissionalizantes", "", 
"Guia General", " CENTRO RIO BRANCO - AC", "(68) 3223-7845", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " CENTRO TARAUACA - AC", "(68) 3462-2447", , "Escolas de Esportes", "", 
"Guia General", " CENTRO CRUZEIRO DO SUL - AC", "(68) 3322-1036", , "Escolas Particulares", "", 
"Guia General", " CENTRO PAD PEIXOTO - AC", "(68) 3267-1121", , "Escolas Particulares", "", 
"Guia General", " CENTRO ACRELANDIA - AC", "(68) 3235-1444", , "Escolas Particulares", "", 
"Guia General", " 6 AGOSTO RIO BRANCO - AC", "(68) 3223-8779", , "Escolas", "", 
"Guia General", " RIO BRANCO - AC", "(68) 3224-3036 á", , "Escolas Técnicas e Profissionalizantes", "", "http://images.guiamais.com.br/11089653/5.gif"
"DIEX - CURSOS PREPARATÓRIOS PARA CONCURSOS PÚBLICOS", " RIO BRANCO - AC", "(68) 3223-5654", , "Escolas Preparatórias", "", 
"Guia General", " BOSQUE RIO BRANCO - AC", "(68) 3224-9526", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " RIO BRANCO - AC", "  -(68) 3226-2442", , "Associações Culturais, Desportivas e Sociais", "", 
"Guia General", " BASE RIO BRANCO - AC", "(68) 3223-7491", , "Associações Culturais, Desportivas e Sociais", "", 
